Year,Distance,Engine_capacity(cm3),Price(euro),Style_ID,Transmission_ID,Fuel_type_ID
2016.0,153000,1500.0,9200.0,2,1,2
2004.0,320000,1400.0,3800.0,6,2,2
2012.0,188000,2000.0,4500.0,8,2,2
2015.0,215000,1500.0,4850.0,1,2,2
2006.0,218400,2000.0,7000.0,8,2,2
2005.0,256983,1500.0,3150.0,2,2,2
2011.0,213548,2000.0,17250.0,4,2,2
2008.0,230000,1800.0,7800.0,5,1,4
2007.0,194777,2000.0,5000.0,5,1,3
2017.0,130212,2000.0,17499.0,4,1,2
2014.0,148000,1500.0,7900.0,7,2,2
2013.0,180000,1500.0,3000.0,8,2,2
2008.0,107000,1746.0,7535.0,7,1,2
2017.0,30100,1400.0,15500.0,7,1,3
2012.0,230000,1800.0,10299.0,1,1,3
2004.0,1,1900.0,4350.0,5,2,2
2001.0,280000,1900.0,1900.0,8,2,2
2008.0,229000,2400.0,5600.0,2,2,4
2010.0,74000,1400.0,6500.0,1,1,3
2007.0,170000,1200.0,3450.0,2,2,3
1995.0,5000,2400.0,1700.0,1,2,2
2008.0,180000,1746.0,7535.0,8,2,2
1994.0,266000,2000.0,1700.0,5,2,3
2016.0,1360,1800.0,11000.0,5,1,3
2000.0,222,2200.0,1500.0,5,1,2
2008.0,1,1746.0,7535.0,5,2,2
2006.0,250000,1300.0,4500.0,1,2,2
2019.0,4000,1399.0,15000.0,1,1,3
2005.0,400000,1900.0,4500.0,3,2,2
2008.0,200000,1900.0,5000.0,2,2,2
2016.0,144000,1800.0,12300.0,1,1,1
2002.0,256000,2700.0,5500.0,5,1,2
2008.0,193000,1746.0,7535.0,4,1,2
2012.0,1,1500.0,6999.0,1,1,2
2008.0,28942,1746.0,7535.0,5,1,3
2008.0,162000,1746.0,7535.0,7,1,6
2008.0,112000,1746.0,7535.0,9,1,3
2008.0,95000,1746.0,7535.0,4,1,3
2005.0,278000,1400.0,2850.0,2,2,3
1994.0,550000,1800.0,3000.0,5,2,3
2010.0,173000,1200.0,3200.0,2,2,3
2002.0,270000,2500.0,3990.0,8,2,2
2010.0,190000,1800.0,8500.0,1,1,1
2019.0,33000,2000.0,18900.0,5,1,3
2015.0,88000,2000.0,16950.0,5,1,3
2013.0,174600,1400.0,5650.0,8,2,3
2008.0,130000,1200.0,4700.0,1,1,3
1996.0,250000,1400.0,1299.0,5,2,3
